	Sz	hEndo	hPeric	hMgl	hOPC	hRgl2c	hRgl2b	hRgl2a	hRgl3	hRgl1	hProgM	hProgBP	hProgFPL	hProgFPM	hNProg	hNbM	hNbML1	hRN	hNbML5	hDA0	hDA1	hDA2	hNbGaba	hGaba	hSert	hOMTN
CKLF-CMTM1	0.3823	0.5701	0.2753	0.6028	0.4694	0.3827	0.2203	0.2646	0.5099	0.3035	0.3891	0.2842	0.3148	0.2713	0.1681	0.1883	0.2555	0.2295	0.1679	0.1572	0.27	0.2354	0.1937	0.1614	0.467	0.3726
CKM	0.4808	0.947	0.7912	2.8977	2.6292	1.0014	1.9076	0.8031	0.9804	1.0353	0.8799	1.6966	1.0612	0.7772	0.7497	0.8447	0.8953	0.9235	0.826	0.8004	0.9638	0.9088	0.8513	0.839	1.1974	0.9543
CKMT1A	0.0191	0.0429	0.0278	0.1011	0.0783	0.0835	0.0462	0.0254	0.0325	0.0334	0.0234	0.0222	0.0458	0.0445	0.0236	0.0482	0.0638	0.0302	0.1199	0.0661	0.1192	0.0839	0.0886	0.0581	0.512	0.2403
CKMT1B	0.0144	0.0419	0.0262	0.1068	0.0737	0.0804	0.0645	0.0368	0.0301	0.0316	0.0217	0.0213	0.0428	0.0428	0.0235	0.0672	0.0668	0.0288	0.1289	0.067	0.1163	0.0897	0.1571	0.1048	0.2326	0.2714
CKMT2	0.2317	6.4028	0.8043	0.5014	0.426	0.4919	0.3183	0.3358	0.5855	0.7003	0.5191	0.2693	0.6098	0.4787	0.5859	0.2827	0.362	0.3658	0.3364	0.5862	0.4399	0.8126	0.4586	0.3069	0.616	0.4534
CKMT2-AS1	0.0425	0.0621	0.0635	0.0715	0.135	0.0972	0.0348	0.0649	0.1413	0.0972	0.1025	0.1004	0.128	0.0674	0.0741	0.1436	0.0539	0.072	0.0571	0.058	0.1203	0.0754	0.0603	0.0995	0.2657	0.1199
CKS1B	1.3068	0.8953	0.9269	1.3185	1.0032	1.4199	0.8148	0.8876	0.9297	0.8697	2.2687	3.0	3.2417	3.6565	1.1584	0.6104	0.679	0.6668	0.5504	0.4821	0.7657	0.6087	0.6338	0.513	1.0445	0.9847
CKS2	3.1199	2.9226	2.4661	3.0694	2.6767	2.8572	2.186	2.217	2.053	2.1714	2.8858	4.4658	5.4974	4.99	3.1344	1.4913	1.4915	1.338	1.3039	1.0651	1.8005	1.4372	1.3733	1.1536	2.3504	2.0335
CLASP1	0.9966	0.7784	0.5634	0.5868	0.6158	0.6132	0.6181	0.8357	0.8038	0.8214	0.8473	0.6719	0.8994	0.5974	0.4818	0.7346	1.3187	0.8793	1.0284	0.7168	1.2698	1.3374	0.5608	1.0831	1.0573	1.3518
CLASP2	1.9528	1.2732	1.2464	1.0418	1.1882	1.5153	1.0592	1.33	1.7146	1.2025	1.025	0.9374	1.3259	0.8832	0.8219	1.4969	1.2944	1.6538	1.7687	0.9725	3.4764	1.7665	1.2941	1.9869	3.1436	2.4359
CLASRP	0.157	0.1538	0.1875	0.3145	0.1469	0.1884	0.2089	0.1916	0.1668	0.3158	0.1898	0.1484	0.1993	0.1706	0.161	0.1679	0.0995	0.1136	0.0879	0.0951	0.121	0.1305	0.1365	0.0802	0.2014	0.1998
CLCA3P_p1	0.5429	1.92	2.5267	1.0657	1.0438	1.031	4.6175	0.8383	1.0276	1.0601	0.9042	0.8008	0.9945	0.886	0.72	0.8295	0.9241	0.9381	0.8974	0.8103	1.026	0.9179	0.957	0.8105	1.2411	0.9762
CLCC1	0.1951	0.1748	0.2382	0.269	0.3096	0.3395	0.2054	0.2258	0.2006	0.1825	0.1603	0.12	0.2167	0.1986	0.1247	0.1697	0.133	0.1175	0.1024	0.1273	0.1794	0.126	0.1901	0.1008	0.3583	0.2472
CLCF1	1.9056	2.1274	1.9375	1.7404	1.7747	1.866	1.8513	1.6879	2.5327	1.7886	1.5504	1.3793	2.2937	1.8354	1.5433	1.3926	1.4577	1.4584	1.9198	1.2342	1.7609	1.5074	1.5971	1.2836	2.2605	1.7402
CLCN1	0.6643	0.9843	1.3277	1.0486	1.0568	1.131	0.8972	1.9715	1.0983	1.0631	0.939	0.8634	1.9864	0.8913	0.7624	0.8579	2.0734	0.9695	0.8702	0.858	2.4867	0.9486	0.9417	0.8732	1.2773	1.0456
CLCN2	0.1384	0.1238	0.1344	0.1076	0.1127	0.3228	0.1225	0.1763	0.1201	0.1456	0.1554	0.0917	0.1229	0.1737	0.0738	0.2731	0.3485	0.2115	0.1727	0.1016	0.1568	0.0863	0.1573	0.0776	0.1887	0.2865
CLCN3	1.0024	0.7709	0.561	0.583	0.652	1.245	1.0275	1.6604	1.6782	0.8684	0.5728	0.582	0.7734	0.4935	0.478	0.5582	0.5246	0.5848	0.547	0.5621	0.8923	0.7106	0.6948	0.5442	1.2333	1.1786
CLCN4	0.0511	0.0614	0.0667	0.1525	0.1545	0.1415	0.0719	0.1101	0.256	0.1759	0.0407	0.0409	0.0503	0.0349	0.0567	0.1029	0.2711	0.1334	0.4033	0.2936	0.3366	0.1969	0.1503	0.4085	0.7259	0.3482
CLCN5	0.0948	0.0868	0.0684	0.1179	0.0908	0.2952	0.1361	0.1648	0.1763	0.0896	0.2024	0.083	0.1721	0.119	0.0593	0.1032	0.1093	0.1979	0.1828	0.1109	0.1146	0.1611	0.1154	0.1189	0.1224	0.2024
CLCN6	0.1953	0.1623	0.1253	0.141	0.152	0.3646	0.2419	0.3087	0.3027	0.1945	0.2093	0.1068	0.2389	0.12	0.1031	0.1833	0.2191	0.2788	0.1809	0.0892	0.3049	0.1595	0.2006	0.3062	0.2862	0.311
CLCN7	0.0379	0.0845	0.0693	0.1789	0.1086	0.1337	0.1808	0.1358	0.0985	0.0665	0.0575	0.0746	0.0554	0.0459	0.1208	0.0373	0.0659	0.1149	0.0799	0.1283	0.1213	0.0566	0.2294	0.1488	0.1335	0.1619
CLCNKA	1.223	2.2333	1.4559	1.411	1.4735	2.6319	1.1993	1.2634	1.6007	1.5172	1.3259	1.116	1.5334	1.8893	1.4751	1.8662	1.2855	1.2885	1.1784	1.0947	1.424	1.2701	1.331	1.1295	1.8553	1.4176
CLCNKB	0.4099	0.8921	0.6924	0.8886	0.8651	0.9733	0.6912	1.2267	0.9758	0.8615	0.8143	0.6953	4.8986	0.7575	0.6866	0.7347	0.7761	0.7881	0.7942	0.7195	2.3851	0.7898	0.8572	1.792	1.0716	0.8626
CLDN1	0.1598	0.3032	0.6485	0.4487	0.7788	0.8841	0.44	0.4295	0.5575	0.3639	0.4563	0.2084	0.3461	0.4374	0.2107	0.2415	0.297	0.3162	0.2935	1.4952	1.2216	3.2412	0.8473	0.2655	0.5152	0.5282
CLDN10	0.1801	0.5938	0.4799	0.5137	0.4636	0.987	0.3159	0.5754	1.2332	0.4331	0.3432	0.6249	1.1667	1.1997	0.2639	0.5179	0.6884	0.3854	0.3733	1.1779	0.4464	0.4037	1.0525	0.328	0.6363	0.7324
CLDN11	0.3497	0.6986	0.7075	0.5948	0.5665	0.6355	0.6026	1.2072	0.8415	1.2735	0.449	0.9367	0.5574	0.384	1.02	0.3712	0.7588	0.8015	0.4546	0.4194	0.7823	0.8004	0.5494	0.383	0.7467	0.5613
CLDN12	0.2475	0.2518	0.1517	0.1957	0.3473	0.2958	0.2627	0.4169	0.2806	0.5764	0.1952	0.1962	0.2015	0.1981	0.1312	0.2616	0.2156	0.1591	0.1391	0.1964	0.2157	0.1577	0.2072	0.12	0.4793	0.217
CLDN15	0.3866	0.5436	0.4856	0.516	0.6445	0.479	0.5053	0.6586	0.5398	0.5618	0.3561	0.3983	0.7244	0.3845	0.3328	0.3339	0.356	0.7238	0.6414	0.3045	0.5593	0.3755	0.4394	0.4275	0.6597	0.7035
CLDN18	0.2622	0.6693	0.8873	0.7409	0.7332	0.7432	1.3017	0.5206	0.7355	0.7221	0.5698	0.5208	0.6889	0.5828	1.2359	0.5253	3.6181	0.6045	0.6523	0.5888	0.6859	0.6318	0.6877	1.4491	0.8805	2.2808
CLDN19	0.4814	1.1016	0.9356	0.8153	0.8111	0.8295	0.5919	2.1121	1.3963	0.7784	1.0463	1.2859	0.7717	1.083	1.4119	0.5973	1.0674	0.6807	0.6334	0.5603	0.7845	0.6813	0.7539	0.5691	1.0476	0.6422
CLDN2	0.5364	0.9153	0.7756	1.0146	0.9498	0.9842	0.7801	0.7843	0.9696	2.361	0.9469	0.7355	0.9585	0.7869	1.5531	1.491	4.4642	0.8648	0.8043	0.7256	1.001	0.8752	0.8675	0.7901	1.1378	1.2959
CLDN20	0.4445	0.9163	0.7117	0.8904	0.8626	0.8707	0.7193	0.7022	0.8922	0.8816	1.6899	1.4462	0.9425	0.7646	3.3265	0.744	0.7833	0.8125	0.697	0.7028	0.9238	2.2249	0.8474	0.7365	1.08	0.8365
CLDN23	0.6479	1.055	0.915	1.2283	1.1574	1.0668	0.8914	0.968	1.2202	1.0712	1.7227	0.9069	1.1561	0.9062	1.5409	1.7493	0.9545	0.9684	0.8896	0.8264	1.1114	0.946	1.0253	0.8803	1.287	3.4641
CLDN3	0.6265	1.0482	1.9709	1.0541	0.9722	1.1034	0.8058	0.8197	1.1113	1.0399	0.9518	1.3496	1.0754	1.5612	2.7102	0.8045	0.8742	0.8857	0.8194	0.7729	1.0586	0.8635	0.9682	0.7911	1.2296	1.4148
CLDN4	0.3632	0.7686	0.5441	0.7585	0.7975	0.8095	0.6175	0.8544	0.7847	1.4303	0.6489	2.9252	0.7665	1.1746	0.556	0.5951	5.6374	0.659	0.6572	0.6154	0.7531	0.7279	0.7385	0.5966	0.9195	1.1487
CLDN5	0.0485	13.4971	0.3135	0.7242	0.1547	0.5032	0.4974	0.2175	0.2438	0.5542	0.0824	0.072	0.243	0.0686	0.1384	0.1429	0.059	0.1227	0.0628	0.0926	0.1761	0.0753	0.0983	0.0761	0.154	0.0791
CLDN7	0.3435	1.0058	13.0534	0.7645	0.7167	0.7581	0.5862	0.7369	0.7612	0.7201	0.6159	0.5741	0.7254	0.5856	0.5227	0.5679	0.6411	0.6526	0.6234	1.529	0.7442	0.6813	0.7509	0.6098	0.8922	0.6323
CLDND1	1.1102	1.0927	1.0741	0.6397	1.1367	1.7906	0.7501	1.4766	1.5969	0.6618	0.7326	0.6545	0.7646	0.6196	0.5595	0.5157	0.6639	0.4963	0.4735	0.4147	0.7135	0.6443	0.618	0.4769	1.3029	0.8661
CLDND2	0.2968	0.9302	0.6411	0.8681	0.8337	0.9025	0.3527	0.3483	1.7712	0.7395	0.5302	0.5139	0.4622	0.6935	0.2848	0.3102	0.3864	0.3996	0.3784	0.348	0.471	0.6787	0.4915	0.3465	1.999	0.9799
CLEC11A	0.0952	0.0866	0.5117	0.0903	0.116	0.1203	0.0987	0.0986	0.1648	0.105	0.1228	0.0867	0.0912	0.0611	0.0618	0.0661	0.0786	0.0599	0.0532	0.056	0.1447	0.0707	0.2083	0.076	0.365	0.1043
CLEC12A	0.4488	0.9132	0.7623	0.9302	0.9716	0.989	0.8242	0.7907	0.9588	0.967	0.8593	0.7711	1.0026	1.8309	1.5817	1.5741	0.8778	0.856	0.7714	0.7607	0.9445	0.8056	0.8704	4.5342	1.1532	0.8731
CLEC14A	0.0076	1.3392	0.0549	0.0809	0.3144	0.1479	0.0271	0.0728	0.042	0.0514	0.0611	0.0384	0.0404	0.0562	0.0438	0.0772	0.0379	0.0437	0.0408	0.0392	0.0486	0.051	0.0721	0.0737	0.1153	0.047
CLEC16A	0.0898	0.1107	0.113	0.1052	0.0871	0.117	0.1101	0.1039	0.1416	0.1425	0.0676	0.0524	0.1086	0.0554	0.0517	0.1388	0.0966	0.1066	0.1171	0.0928	0.0902	0.1583	0.1624	0.1457	0.1944	0.1582
CLEC18A	0.8884	1.274	1.0382	1.2607	1.1808	1.3219	1.0564	1.526	2.1981	1.2355	1.1518	0.988	1.2755	1.9551	0.9095	1.7882	1.1393	1.0755	1.027	0.9621	1.2782	1.165	1.0547	0.9737	1.5509	2.106
CLEC18B	0.0207	0.0432	0.0344	0.0652	0.0461	0.0897	0.0779	0.0438	0.0791	0.0675	0.2037	0.0761	0.1342	0.0528	0.0868	0.043	0.1659	0.0692	0.116	0.0891	0.0717	0.1123	0.054	0.0272	0.0798	0.0314
CLEC19A	0.616	1.0772	0.9108	1.0534	1.0937	1.1066	0.9362	0.9422	1.2118	1.1004	1.025	1.6883	1.1697	1.9828	0.828	0.8523	2.4028	0.964	0.8758	2.2807	1.1643	1.007	1.0449	0.8869	1.3519	1.0572
CLEC1A	0.1021	14.01	1.3221	0.4797	0.4232	0.4359	0.6404	0.2192	0.3816	0.8961	0.3247	0.241	0.3443	0.2912	0.2618	0.5233	0.3513	0.3887	0.337	0.81	0.4002	0.3811	0.4611	0.3315	0.5257	0.306
CLEC2B	0.101	7.2816	0.4406	0.9008	0.744	0.3969	0.3787	0.2259	0.301	0.3029	0.2403	0.1859	0.284	0.2098	0.3531	0.1927	0.9027	1.0088	0.2499	0.2591	0.2927	0.6727	0.3437	0.2253	0.4284	0.3461
CLEC2D	0.3002	0.2492	0.1799	0.3335	0.4001	0.6612	0.3972	0.3344	0.3944	0.3821	0.4049	0.2643	0.4196	0.2319	0.2298	0.1769	0.2809	0.1688	0.1485	0.2	0.2216	0.2177	0.2112	0.1523	0.5113	0.2591
CLEC2L	1.105	1.2492	1.2076	1.257	1.2834	1.2955	1.0204	1.2301	1.8267	1.2611	1.0965	0.9057	1.6515	1.0079	0.8763	1.4093	1.0501	1.061	1.6832	0.9102	1.7939	1.1149	1.1217	0.9221	4.8087	1.8721
CLEC3B	0.0058	3.703	0.1261	0.1936	0.3258	0.0639	0.0892	0.1339	0.0403	0.047	0.0305	0.0393	0.0388	0.0248	0.0213	0.0482	0.0339	0.0416	0.0381	0.0871	0.0514	0.1098	0.0661	0.0308	0.2639	0.0224
CLEC4A	0.3313	1.4202	0.5226	13.1321	0.7313	1.8758	0.6109	0.8211	0.7502	0.7727	0.5968	0.5501	0.724	0.6013	0.5365	1.8033	0.6164	0.6723	0.593	0.6071	0.74	0.6248	0.7133	1.3523	0.8897	0.6197
CLEC4GP1_p1	0.3135	1.2389	0.4863	0.7299	0.7681	0.7978	1.1364	1.4842	0.7294	0.6836	2.3996	0.4836	0.7235	0.5538	0.9539	0.5254	1.2869	0.6066	0.5631	0.5952	0.7302	0.6563	1.7319	0.5403	0.9618	1.052
CLEC5A	0.4394	0.8931	0.7185	0.9085	0.8773	0.984	0.7597	0.7496	0.949	0.8891	0.8537	0.7166	0.8852	0.7584	1.3741	0.7879	0.8279	0.824	0.7253	2.0134	0.894	0.8286	0.8578	1.8487	1.0752	3.3235
CLEC7A	0.2962	1.1606	0.4966	56.3007	0.7016	0.7881	0.5745	1.1809	0.693	0.7101	0.6021	0.5088	0.7248	0.5526	0.5097	1.057	0.6434	0.6607	1.5399	0.5594	0.6875	0.6318	0.6789	0.5893	0.9132	0.6108
CLECL1	0.5502	1.0051	1.4593	15.8516	0.9988	1.0234	0.8829	1.4759	1.0809	1.0292	0.9505	0.8248	1.0908	0.8736	0.8024	0.8462	0.8865	0.9371	0.8805	0.8393	1.0509	0.9175	0.9204	0.8556	1.2394	0.9835
CLGN	0.3202	0.2187	0.1853	0.3637	0.3057	0.2977	0.1738	0.3565	0.3498	0.4132	0.3575	0.3613	0.6879	0.3473	0.3225	0.2188	0.2822	0.2004	0.2192	0.2535	0.5042	0.229	0.2672	0.1399	0.6351	0.5422
CLHC1	0.1826	0.2095	0.1366	0.1953	0.182	0.1628	0.257	0.3245	0.3262	0.2905	0.2776	0.1499	0.2708	0.1349	0.2	0.2018	0.126	0.1325	0.1781	0.2302	0.2467	0.2023	0.2059	0.1054	0.3953	0.2024
CLIC1_loc1	0.4537	6.0399	4.7971	2.2598	0.558	0.9868	0.6992	1.5611	1.2985	0.9329	2.1111	1.2768	2.4762	1.9216	0.7122	0.5966	0.4744	0.2665	0.2034	0.2186	0.2853	0.2253	0.2489	0.1896	0.4839	0.9856
CLIC1_loc2	1.9668	2.5655	2.5112	1.8974	2.0339	1.921	1.6234	2.0925	2.7913	1.9502	1.8238	1.5811	2.8529	1.5902	1.4471	1.5773	1.6296	1.6703	1.5339	1.4381	1.8065	1.6624	1.7548	1.5362	2.4446	1.9358
CLIC1_loc3	1.9125	2.5679	2.6241	1.8792	1.8972	2.0555	1.6038	2.0423	2.8432	1.8802	1.7575	1.5688	2.9268	1.6453	1.3378	1.5612	1.6985	1.6189	1.5645	1.4232	1.9945	1.6449	1.7655	1.4946	2.4563	1.8445
CLIC1_loc4	1.6332	1.8088	2.6658	1.7734	1.7281	1.8563	1.4425	1.9112	2.6019	1.7492	1.708	1.4119	2.7225	1.435	1.3249	1.3978	1.5152	1.5501	1.4439	1.2733	1.7675	1.5202	1.5795	1.3401	2.281	1.7147
CLIC1_loc5	2.0078	2.5269	2.3696	1.9685	1.898	2.0079	1.5451	1.9943	2.8007	1.9725	1.6918	1.5545	2.6811	1.5934	1.3848	1.5098	2.3547	1.6174	1.5249	1.3091	1.926	1.5922	1.6607	1.4674	2.5454	1.8637
CLIC1_loc6	1.8014	2.3044	2.7913	1.7596	1.7491	1.8326	1.4116	1.8552	2.5443	1.7304	1.6129	1.4216	2.5069	1.4316	1.2966	1.4193	2.104	1.4281	1.441	1.3332	1.7674	1.5155	1.5463	1.3126	2.2507	1.7499
CLIC1_loc7	1.9668	2.5655	2.5112	1.8974	2.0339	1.921	1.6234	2.0925	2.7913	1.9502	1.8238	1.5811	2.8529	1.5902	1.4471	1.5773	1.6296	1.6703	1.5339	1.4381	1.8065	1.6624	1.7548	1.5362	2.4446	1.9358
CLIC2	0.4639	4.5419	0.5927	1.1764	1.0037	0.6964	0.7043	0.9515	0.6487	0.9774	0.4997	0.5131	0.9175	0.4915	0.4067	0.6609	0.7872	0.9186	0.4976	0.5021	0.9847	0.5745	0.6146	0.4796	0.8979	0.5337
CLIC4	0.936	2.2842	1.2735	0.5121	0.849	0.9545	0.5775	0.6114	0.6288	0.6637	0.7322	0.7487	1.3068	0.7134	0.4893	0.5748	0.4823	0.5146	0.4788	0.3387	0.6036	0.5564	0.4554	0.3759	0.7352	0.6531
CLIC5	0.1462	16.2638	0.3256	0.5718	0.535	0.5637	0.9114	0.3101	0.5018	0.4702	3.2121	0.3451	0.4893	0.383	0.3665	0.3902	0.4389	0.4684	0.4392	0.4133	1.1367	0.4859	0.5195	0.4346	0.652	0.8236
CLIC6	0.6806	1.0514	0.9492	1.1401	1.19	1.1333	0.9482	0.9699	1.1999	1.1051	2.2217	1.9723	2.4995	1.801	0.864	0.8739	1.0185	0.9737	0.9462	0.8684	1.1334	1.0304	0.9893	0.8676	1.3764	1.1191
CLINT1	0.3763	0.4044	0.2611	0.4532	0.4392	0.3152	0.2564	0.2892	0.2811	0.2479	0.365	0.2488	0.4675	0.237	0.1896	0.2364	0.2362	0.2273	0.235	0.1607	0.3581	0.3166	0.2857	0.4674	0.3903	0.3146
CLIP1	0.7173	0.5939	0.4249	0.6254	0.4512	0.5015	0.4372	0.6144	1.1058	1.0144	0.495	0.5177	0.5966	0.4159	0.4029	0.4583	0.4526	0.3655	0.4406	0.4816	0.8273	0.441	0.9763	0.911	0.6662	0.6945
CLIP1-AS1	0.5073	0.9079	1.0871	0.9407	0.8685	0.9598	0.7989	0.7386	0.9946	0.8988	0.8066	1.4403	0.9374	0.7742	4.9952	0.7414	0.8732	0.7845	0.779	0.7319	0.8923	0.8047	0.8907	1.6322	1.1417	1.4409
CLIP2	0.3167	0.2932	0.2654	0.2182	0.4154	0.3709	0.2939	0.286	0.353	0.2028	0.1884	0.1799	0.2533	0.1557	0.1409	0.2242	0.2044	0.1913	0.1586	0.1978	0.278	0.2238	0.1849	0.1728	0.3039	0.3006
CLIP3	0.5578	0.4454	0.3245	0.3307	0.5788	0.4076	0.3592	0.5377	0.6779	0.4399	0.3471	0.358	0.4559	0.2727	0.2557	0.4838	0.5711	0.3443	0.3913	0.2392	0.4844	0.5843	0.2967	0.3546	1.3647	0.6224
CLIP4	0.0335	0.0412	0.0625	0.0605	0.0773	0.1169	0.0491	0.131	0.1441	0.0902	0.0993	0.0452	0.0671	0.0396	0.0922	0.0573	0.135	0.0812	0.1565	0.0673	0.0671	0.0608	0.0528	0.0756	0.3479	0.0766
CLK1	4.4229	4.5373	3.7721	3.5919	2.3792	2.5223	2.3359	3.7099	3.0053	2.4966	2.5008	2.1184	3.1112	2.3564	1.9376	2.3333	2.1036	2.0664	1.9751	1.6775	2.9779	2.3281	1.9013	1.6109	3.2988	2.8468
CLK2	0.1348	0.1681	0.1576	0.117	0.1047	0.2101	0.1767	0.1631	0.1365	0.1594	0.2455	0.1406	0.1836	0.1001	0.0901	0.0945	0.1413	0.1649	0.0983	0.1089	0.1992	0.1569	0.2976	0.1166	0.1902	0.1277
CLK2P_p1	0.0475	0.0646	0.0633	0.0712	0.0965	0.1463	0.0736	0.1042	0.0885	0.1334	0.1238	0.0854	0.1263	0.068	0.0561	0.0643	0.0984	0.1001	0.0567	0.1602	0.0783	0.0699	0.0618	0.1736	0.1742	0.0736
CLK3	0.1644	0.1922	0.224	0.1396	0.1368	0.1993	0.1689	0.1759	0.2817	0.1896	0.1305	0.1631	0.1801	0.1483	0.1651	0.1159	0.1569	0.1917	0.0825	0.0861	0.1586	0.1337	0.2187	0.1103	0.2457	0.1635
CLK4	0.8353	0.6555	0.5118	0.4774	0.5114	0.5801	0.4369	0.8747	0.6168	0.6851	0.5409	0.5324	0.7042	0.5248	0.36	0.689	0.4853	0.4729	0.4314	0.485	0.6945	0.3948	0.4456	0.3552	0.7116	0.6342
CLMN	0.0177	0.0326	0.0737	0.0642	0.048	0.0537	0.1161	0.1347	0.0663	0.2184	0.0707	0.0682	0.1257	0.0369	0.1253	0.0346	0.0576	0.16	0.0651	0.0631	0.0771	0.0411	0.0612	0.2072	0.0879	0.0779
CLMP	0.3572	0.7382	0.8037	1.2138	0.5952	0.6001	0.4286	0.3752	1.2887	0.5578	0.4886	0.4942	0.5647	0.5989	0.772	0.4028	0.4748	0.496	0.4695	1.443	1.6539	0.9948	1.1477	0.6741	1.2519	0.7541
CLN3	0.1359	0.1923	0.1189	0.1894	0.3006	0.1283	0.1311	0.1921	0.1548	0.2968	0.1089	0.0935	0.2028	0.0741	0.1111	0.0894	0.1531	0.0771	0.0905	0.0823	0.1154	0.1744	0.0952	0.1113	0.2296	0.1357
CLN5	0.0786	0.0986	0.0923	0.1789	0.1674	0.1837	0.1171	0.2012	0.3049	0.1448	0.1679	0.0874	0.1583	0.0956	0.046	0.0468	0.0785	0.0546	0.0877	0.075	0.0672	0.0943	0.0722	0.1192	0.1188	0.0777
CLN6	0.0133	0.1098	0.1069	0.2296	0.0954	0.0547	0.0881	0.1793	0.2131	0.0752	0.1248	0.0904	0.2221	0.0826	0.0192	0.0479	0.1511	0.0371	0.0322	0.0313	0.0388	0.0384	0.1218	0.0301	0.0908	0.0639
CLN8	0.0475	0.2249	0.1227	0.2856	0.0903	0.2358	0.1448	0.1304	0.1432	0.0915	0.1127	0.0644	0.1025	0.0471	0.0571	0.0722	0.1614	0.0392	0.1031	0.0632	0.1374	0.0428	0.0874	0.1773	0.0847	0.1072
CLNS1A	1.4146	0.954	0.8068	0.8342	1.2806	1.6894	1.3003	1.9002	1.6477	1.0784	1.4714	1.4906	2.0183	1.0292	0.8221	0.7814	0.8545	0.6075	0.5868	0.5351	0.8071	0.7103	0.6771	0.5487	1.1119	0.9934
CLOCK	0.4069	0.482	0.2737	0.4129	0.2744	0.2988	0.3105	0.3087	0.3065	0.4161	0.3321	0.2797	0.3101	0.288	0.225	0.2344	0.3028	0.232	0.3421	0.2872	0.3972	0.2685	0.3984	0.4259	0.3926	0.3933
CLP1	0.0571	0.1045	0.1011	0.0657	0.0569	0.1548	0.0444	0.0651	0.1742	0.0773	0.1165	0.1619	0.0765	0.0986	0.0475	0.0661	0.1617	0.0812	0.0567	0.0861	0.1376	0.1051	0.0826	0.0447	0.1754	0.087
CLPB	0.3149	0.7627	0.8082	0.9198	0.9314	0.5599	0.4934	0.8216	0.4563	0.4743	0.3945	0.3019	1.0324	0.7305	0.6465	0.4711	0.3965	0.4258	0.3888	0.6468	0.4719	0.442	0.5048	0.5302	0.7061	1.1077
CLPP	0.3447	0.5041	0.2674	0.3079	0.2837	0.3388	0.1669	0.2546	0.253	0.2241	0.2415	0.2086	0.4262	0.175	0.1393	0.1802	0.2304	0.2104	0.2084	0.2406	0.3489	0.401	0.2816	0.1863	0.4271	0.3081
CLPTM1	0.0373	0.1155	0.0679	0.0947	0.1826	0.1578	0.1247	0.132	0.0774	0.1417	0.0599	0.032	0.0563	0.0314	0.0247	0.0409	0.044	0.0332	0.0456	0.042	0.0785	0.0674	0.0481	0.0982	0.1746	0.0613
CLPTM1L	0.3389	0.4119	0.43	0.2282	0.3868	0.2861	0.279	0.3015	0.4055	0.2905	0.3851	0.2294	0.2466	0.191	0.1763	0.1704	0.3245	0.2038	0.1937	0.1336	0.2856	0.3617	0.2183	0.1581	0.4533	0.2927
CLPX	0.1694	0.1669	0.1544	0.2989	0.1457	0.2093	0.1947	0.2276	0.3406	0.1553	0.1634	0.1634	0.3157	0.1414	0.1186	0.1289	0.1065	0.2132	0.144	0.1964	0.386	0.1304	0.3502	0.1432	0.3062	0.1384
CLRN1	0.4702	0.984	3.0067	1.0393	0.9933	2.7226	0.8255	0.8481	1.0812	0.9622	0.9895	0.8358	1.0945	0.8621	0.7599	0.8428	0.9319	0.876	2.0325	0.8331	1.0314	0.8536	0.9632	0.8163	1.2641	0.9299
CLSPN	0.3783	0.2821	0.3299	0.5587	0.3002	0.7373	0.2771	0.2797	0.3274	0.4646	0.7076	1.0101	1.6945	0.7108	0.3262	0.2306	0.3212	0.2004	0.1848	0.2199	0.253	0.2165	0.2638	0.1851	0.3392	0.3513
CLSTN1	1.4292	1.3348	0.8373	0.8005	1.3639	1.0042	1.428	1.7275	2.3463	1.7671	1.0174	0.6763	1.3092	0.6739	0.5962	0.6665	0.9257	0.7638	0.7795	0.5864	0.9834	0.653	1.3063	1.1478	1.8928	1.0803
CLSTN2	0.0791	0.179	0.2288	0.2777	0.2464	0.2875	0.1624	0.2032	0.3463	0.2336	0.8599	0.123	0.5453	0.7612	0.2344	0.2253	0.1863	0.2061	0.4074	0.8784	1.3829	1.0238	0.5354	0.493	0.8352	0.1482
CLSTN3	0.0804	0.0829	0.0766	0.1013	0.1348	0.1651	0.1676	0.177	0.165	0.1315	0.1101	0.0688	0.1507	0.0721	0.0593	0.0511	0.0646	0.0975	0.1255	0.2314	0.3132	0.322	0.0996	0.2	0.3783	0.2481
CLTA	0.9233	0.6827	0.5664	0.6253	0.5625	0.5722	0.4696	0.5964	0.6636	0.626	0.563	0.4879	0.6713	0.4777	0.4093	0.4545	0.5503	0.4282	0.3875	0.3839	0.7614	0.5309	0.5254	0.4394	1.0882	0.7107
CLTB	0.0627	0.355	0.1912	0.0795	0.2144	0.4152	0.1091	0.118	0.1333	0.1077	0.0492	0.0714	0.0678	0.0502	0.0981	0.1001	0.1365	0.1203	0.1032	0.1441	0.2884	0.1382	0.243	0.11	0.5752	0.2526
CLTC	1.8093	1.8649	1.1393	0.987	1.0306	1.0655	0.8693	1.257	1.3864	1.0472	1.04	0.8618	1.2154	0.8282	0.6727	0.9601	1.0425	0.974	0.9179	0.6724	1.4498	0.9632	1.6961	1.0818	3.1692	1.3778
CLTCL1	0.0247	0.0604	0.0635	0.2604	0.0641	0.0663	0.0775	0.059	0.1105	0.084	0.1134	0.0954	0.1446	0.0472	0.0573	0.0299	0.1546	0.0482	0.1256	0.1195	0.1479	0.0957	0.1385	0.0937	0.1111	0.0563
