	Sz	mEndo	mPeric	mMgl	mEpend	mRgl3	mRgl2	mRgl1	mNProg	mNbM	mNbML2	mNbL2	mNbDA	mDA0	mDA1	mDA2	mNbML1	mNbML3	mNbL1	mNbML4	mRN	mGaba1b	mGaba1a	mGaba2	mSert	mOMTN	mNbML5
Atp1a2	0.0475	0.408	12.9374	0.4607	1.4396	2.4653	4.9397	1.1613	0.1738	0.0738	0.1365	0.5934	0.0654	0.1453	0.2522	0.2376	0.0533	0.2163	0.1056	0.0981	0.1146	0.2925	0.165	0.3822	0.3024	0.114	0.1652
Atp1a3	0.7972	0.5008	0.4368	0.6898	0.5563	0.4503	0.5289	0.4404	0.3876	0.5746	0.5491	1.0647	0.7866	1.2211	1.8963	1.7218	0.7264	1.6175	1.8338	3.1997	3.0261	2.3736	1.6029	5.4068	2.4919	3.5798	0.9363
Atp1a4	0.3702	0.6019	2.1608	1.7493	0.8167	0.7702	1.099	0.6607	0.797	0.567	0.4701	1.264	0.5074	0.6171	0.7596	1.6744	0.6109	0.7964	0.7826	0.8628	0.8889	0.6742	0.6523	0.7529	1.4112	0.7712	2.5609
Atp1b1	1.7107	1.0401	0.8032	1.2385	1.2021	1.401	0.9986	0.9242	0.8335	0.7671	0.729	2.3638	1.1077	1.9976	2.4786	2.798	1.1087	3.1207	1.0542	2.7114	6.2553	3.0449	2.8806	8.8957	3.5837	4.9358	1.1924
Atp1b2	0.0637	0.1582	0.7727	0.3263	0.9922	0.876	1.0099	0.2235	0.0762	0.0691	0.0506	0.0665	0.0408	0.0685	0.1867	0.141	0.0788	0.1017	0.0778	0.2513	0.2044	0.1666	0.3088	0.7604	0.2745	0.2952	0.1072
Atp1b3	1.8218	1.6352	1.1639	2.5497	1.0483	1.0008	1.0073	1.0129	1.0359	0.7068	0.6659	0.9387	0.7013	0.7667	1.1274	0.8854	0.8084	1.4529	1.7511	1.5161	1.6151	0.9299	0.9106	1.6066	1.3699	1.4197	0.6887
Atp2a2	2.372	1.5723	1.2978	1.6077	2.4778	1.5263	1.4878	1.3086	1.169	1.0256	0.8217	1.5745	0.938	1.0119	1.2817	1.368	0.9951	1.65	1.3907	1.9431	1.9188	1.5373	1.2314	4.2887	2.2979	2.0077	1.0493
Atp2a3	0.2099	0.4147	6.6143	1.1861	0.6795	0.5978	0.4516	0.495	0.5432	0.4205	0.34	4.0453	0.406	1.1963	0.5541	0.5578	0.439	0.605	0.6136	0.6369	0.5831	0.4766	0.51	0.7905	0.5559	0.5541	1.0252
Atp2b1	2.9925	2.4144	1.6359	3.1764	3.638	2.853	1.7902	1.5682	1.4417	1.0884	1.1618	3.6558	1.1268	1.6017	1.6204	1.5194	1.6792	2.3342	2.5768	2.2983	2.5797	2.4344	3.0528	6.3599	4.0264	5.0606	1.6353
Atp2b2	0.3869	0.2885	0.1921	0.2946	0.3965	0.2594	0.3316	0.2404	0.2161	0.2125	0.1548	0.5934	0.1616	0.2255	0.6514	0.4887	0.3534	0.5679	0.4971	0.9021	0.5213	0.6546	0.8393	1.861	0.8304	1.583	0.3331
Atp2b3	0.0119	0.0408	0.0573	0.0365	0.0581	0.0353	0.0342	0.0305	0.0121	0.0451	0.0263	0.0416	0.04	0.1155	0.0631	0.1083	0.0331	0.0562	0.1406	0.0757	0.0699	0.0711	0.1009	0.1724	0.1842	0.0746	0.032
Atp2b4	0.5614	0.4856	0.7753	0.4768	2.4997	1.9733	1.1212	0.3576	0.3321	0.4395	0.3623	0.5959	0.2675	0.3666	0.7462	0.6267	0.2888	0.4422	0.5537	0.4495	1.0211	0.6366	0.6424	1.374	0.754	0.6268	0.3809
Atp2c1	1.2643	1.1672	1.2136	0.9279	1.1011	0.7701	0.893	0.7514	0.6226	0.5114	0.4728	0.67	0.5961	0.6294	0.9783	1.6538	0.66	0.8624	0.7433	1.0101	0.9862	0.9375	0.9153	1.7095	1.438	1.621	0.7242
Atp4a	0.4813	0.4613	0.4846	0.7269	1.2594	0.6539	0.6556	0.5281	0.7683	0.422	0.4795	1.0512	0.3948	0.7627	0.6285	0.9945	0.7498	1.0202	0.6932	1.1339	0.6883	1.5401	0.8286	1.461	0.797	1.0214	0.4329
Atp5a1	10.3828	6.1244	4.75	6.4449	5.104	5.1392	5.5701	5.1977	4.9541	3.5143	3.3639	4.7889	3.5722	3.7358	5.1022	4.8896	4.2432	7.0662	5.6881	8.816	9.8027	6.1211	6.0795	11.043	7.1721	10.9141	3.5551
Atp5b	13.4907	7.9864	7.0778	8.3448	6.4961	6.5383	7.2843	7.6802	6.5876	4.6142	4.4926	6.2188	4.4833	4.8261	6.5397	5.8714	5.9941	8.7095	7.6164	10.3401	11.6044	8.4275	7.7671	14.5816	9.3363	16.1548	4.6191
Atp5c1	11.1491	6.5924	5.1771	7.1576	5.447	5.4574	5.9051	5.7328	5.5946	3.8004	3.7629	5.128	3.8136	4.098	5.6782	5.0551	4.6179	9.787	6.0343	9.8188	10.943	6.7778	8.3341	10.6599	8.2948	10.9642	4.4541
Atp5d	2.8706	1.751	1.8519	1.9785	1.5681	1.5405	1.9556	1.6827	1.4841	1.0187	0.9398	1.3471	1.0491	1.0712	1.5831	1.3457	1.2488	2.2386	1.7957	2.2343	2.3129	1.6499	2.0694	3.4352	2.2975	3.5698	1.0383
Atp5e	20.1408	11.8539	8.8163	12.3821	10.0266	9.9677	11.086	10.9878	10.1587	6.8173	6.5725	9.2133	6.8576	7.1709	10.2735	8.7323	8.3856	13.9815	10.6835	15.7329	15.3786	11.4549	10.3612	17.3722	14.9408	17.9368	6.8432
Atp5f1	10.1803	6.0378	4.5623	6.3769	4.9481	5.0126	5.5685	5.1542	4.9653	3.6096	4.3979	4.6814	4.1081	3.8083	5.873	5.1532	4.7033	10.8705	6.2559	10.1698	9.9776	7.4524	7.9345	11.6713	8.8795	13.5375	3.8854
Atp5g1	6.0367	3.573	2.7389	3.8231	3.042	3.1622	3.3078	3.0857	3.0333	2.0838	2.3022	2.8361	2.3254	2.4621	3.948	4.1542	3.1	7.5506	3.9232	9.7292	11.2406	6.7822	8.0192	12.4495	7.5254	13.6246	3.4816
Atp5g2	6.5976	4.3489	4.7981	5.6541	3.387	3.4363	4.4017	6.3475	6.5987	3.019	2.9224	3.0494	2.3568	2.75	3.3467	2.981	3.0475	4.3846	3.7966	4.9534	5.0873	3.0528	3.1267	5.414	4.5745	6.1012	2.9631
Atp5g3	13.9832	8.2267	7.8112	8.6177	6.8053	6.9045	8.7189	7.0748	6.7933	4.7274	4.6307	6.42	4.6703	5.0859	6.8421	6.6149	6.2213	13.176	8.5565	13.312	13.2796	9.461	9.7411	16.9742	9.8244	16.9481	4.9443
Atp5h	6.1612	4.0829	3.0882	3.93	3.0585	3.1043	3.3137	3.2691	3.1372	2.1145	2.2142	2.8531	2.1145	2.4295	3.2398	2.799	2.543	4.7965	3.4286	4.7539	6.1435	3.3395	3.5055	5.5565	4.6155	5.7845	2.1547
Atp5j	12.4925	7.6932	5.8691	7.8173	6.0426	6.063	6.6235	6.6411	6.1947	4.1947	4.1392	5.7272	4.3091	4.4764	6.4627	5.6103	5.7923	9.4943	6.8054	9.2737	9.7908	7.2964	7.8785	10.8978	8.8516	13.4682	4.5691
Atp5j2	16.1918	9.5177	7.1601	10.0745	7.8639	7.8492	8.885	8.7537	8.4808	5.4245	5.4903	7.4179	5.8089	5.8558	8.0402	7.8666	6.9556	14.2744	9.1767	15.3297	15.0646	10.3163	8.7345	13.9983	11.7174	18.7366	5.5636
Atp5k	11.501	6.8206	6.3083	7.1337	5.6435	5.7775	6.2066	6.4604	5.6468	3.8836	4.0247	5.2839	4.0355	4.3067	5.8383	5.3598	5.1315	9.9191	6.2339	12.7945	12.6676	7.2967	8.3073	12.9643	10.8618	14.7824	4.0288
Atp5l	12.8364	7.6999	6.3869	8.0387	6.4861	6.3426	6.7382	6.5825	6.1898	4.3965	4.265	5.8891	4.9424	4.684	6.4847	5.9841	5.6469	10.7012	7.0577	10.853	11.0907	7.1876	8.1739	12.6905	9.4446	14.2177	4.4876
Atp5o	12.7996	7.5429	6.4781	7.868	6.3328	6.2826	6.7614	6.7666	6.4583	4.2562	4.1628	5.8935	4.4424	4.8985	7.2407	6.8032	5.569	11.221	6.9444	11.2507	12.8769	8.6359	8.7375	14.5183	11.1851	17.886	4.7291
Atp5s	0.1166	0.1431	0.075	0.3118	0.2256	0.2182	0.2434	0.2042	0.0702	0.0977	0.1045	0.152	0.0758	0.1559	0.2198	0.0784	0.0814	0.2883	0.1112	0.1213	0.1329	0.3057	0.2405	0.3201	0.2034	0.1972	0.1523
Atp5sl	0.0996	0.1279	0.0831	0.1293	0.1847	0.0912	0.0735	0.1525	0.071	0.0669	0.0865	0.1217	0.083	0.0869	0.1065	0.1888	0.1017	0.1433	0.0939	0.223	0.2041	0.1575	0.1202	0.3026	0.183	0.1816	0.0693
Atp6ap1	2.6665	1.6706	1.215	2.5969	1.4913	1.9699	1.5638	1.3861	1.2592	0.9801	1.001	1.3559	1.0019	1.1535	2.1841	2.6975	1.493	2.2726	2.0056	3.0041	3.0101	2.6009	1.9157	4.508	3.8374	3.305	1.3029
Atp6ap2	2.7089	1.6409	1.1992	2.7892	1.8515	1.5358	1.6402	1.4073	1.3008	0.9452	0.9444	1.3424	1.0999	1.3399	2.4865	2.5907	1.6476	2.1529	2.5768	2.4388	2.7377	2.6552	2.5777	4.4989	3.3379	3.5955	1.2178
Atp6v0a1	0.6253	0.4213	0.3192	0.7249	0.4212	0.6117	0.3558	0.3614	0.3685	0.3548	0.2709	1.127	0.2694	0.3961	0.5071	0.6891	0.3359	0.4607	0.4241	0.7957	0.7538	0.3813	0.5557	1.4634	0.7221	0.7902	0.3766
Atp6v0a2	0.2784	0.3019	0.2282	0.5173	0.5994	0.4059	0.3684	0.2615	0.2663	0.1204	0.161	0.377	0.1445	0.1528	0.2744	0.2146	0.1449	0.297	0.3879	0.2976	0.3439	0.1805	0.2198	0.3486	0.2917	0.2477	0.2792
Atp6v0a4	0.287	0.3331	0.6272	0.4574	0.4965	0.4297	0.5025	0.4974	0.2831	0.9461	0.4236	0.3034	0.7657	0.5468	0.4156	0.415	0.4627	0.637	0.723	0.8374	0.8494	0.6367	0.3506	0.833	0.5102	0.6473	0.2891
Atp6v0b	3.7158	2.2291	1.6577	3.3639	1.929	2.6917	2.3357	1.9165	1.7588	1.6321	1.3299	1.9408	1.9627	1.7015	2.2265	2.6461	2.1194	4.0057	4.2264	6.8325	5.7149	4.1368	3.7283	6.6956	5.3969	5.2565	2.0716
Atp6v0c-ps2	4.8613	2.924	2.1756	3.2938	2.4621	2.4938	2.5809	2.4876	2.2905	1.6792	1.6686	2.9087	2.0262	1.9909	3.9864	3.2055	2.7764	4.0766	4.3434	4.6384	4.6684	4.8531	4.1333	10.3572	6.8771	6.4448	2.5687
Atp6v0d1	1.7566	1.1815	0.8502	1.2761	1.4177	1.1786	1.0431	0.9318	0.8329	0.835	0.7233	1.0938	1.0329	1.0094	1.3944	0.847	1.2932	1.7383	1.8786	1.5606	2.8006	1.626	1.7328	3.504	2.0545	2.2254	0.8259
Atp6v0d2	0.3721	0.738	0.7392	6.8379	0.8538	0.8594	0.7615	0.7845	0.6738	0.6963	0.5921	1.6491	0.6376	0.7089	2.7399	0.8827	0.7259	0.9522	0.9327	0.9591	1.0025	0.7089	0.7776	0.8638	0.935	0.9213	1.7134
Atp6v0e	0.3993	1.7809	0.7677	2.2906	1.7209	1.8437	1.3756	0.5753	0.5349	0.4579	0.3717	0.2709	0.3904	0.2206	0.301	0.2511	0.2629	0.3844	0.3058	0.3735	0.3652	0.2074	0.3122	0.4141	0.3224	0.5329	0.1941
Atp6v0e2	1.1503	0.7136	0.5291	0.7599	1.2758	1.0497	0.9688	0.6624	0.5564	0.4793	0.4923	0.7567	0.645	0.6086	1.0854	0.9584	0.7275	1.5899	1.1729	1.4064	1.5561	2.1066	1.8667	4.2158	1.934	1.8301	0.797
Atp6v1a	4.0371	2.6236	1.8156	2.8248	2.8534	2.0778	2.1498	2.0373	1.9259	1.4906	1.3925	1.9689	2.3379	1.6484	3.5681	2.5672	2.0163	5.8641	2.6683	4.2745	4.4118	4.8553	4.7102	9.1807	6.2927	5.4653	2.0897
Atp6v1b2	1.5547	1.0036	0.6965	1.7017	0.8473	0.8551	0.8561	0.8216	0.7434	0.6983	0.6074	1.037	0.862	0.8153	1.0274	0.9649	0.9142	1.4866	1.7219	1.7376	1.5971	1.3442	1.2588	2.8718	1.8726	2.166	0.7048
Atp6v1c1	1.2552	0.7629	0.5731	1.2994	0.6922	0.827	0.7962	0.694	0.612	0.4892	0.4455	0.6447	0.494	0.579	1.0678	1.4827	0.6382	1.2608	1.0035	1.0969	1.1675	1.3783	1.4034	2.3879	1.7309	1.7919	0.9261
Atp6v1c2	0.3517	0.6341	0.6603	0.8757	0.8432	0.797	0.6722	1.3932	2.6369	0.6024	0.5369	0.6944	0.5776	0.7313	0.7833	2.0005	0.6021	0.8288	0.7621	0.9392	0.8043	1.4433	0.6822	3.0975	0.7622	0.8301	0.6543
Atp6v1d	3.0051	1.8017	1.3509	2.0876	2.1653	1.6543	1.8189	1.5741	1.4686	1.0641	1.2767	1.5198	1.1872	1.3098	2.4377	1.7728	1.622	2.6577	2.7343	2.8488	2.9004	2.6052	2.2708	4.1443	2.9955	2.7221	1.2129
Atp6v1e1	3.754	2.4263	1.65	2.4914	1.8931	2.0169	2.0174	1.9108	1.7945	1.4457	1.7298	1.8342	1.5046	2.1121	2.4711	1.8544	1.9656	3.2448	3.1476	5.3237	4.869	3.7045	3.5375	6.2613	4.5427	4.1639	1.6083
Atp6v1e2	0.425	0.624	1.1002	0.8026	0.8567	0.7738	0.6285	0.645	2.2353	1.9829	0.8341	1.1293	0.9387	0.6261	0.7387	0.6938	0.6188	0.8114	0.7969	1.7653	1.3849	0.6559	0.6732	0.9643	0.786	0.7681	0.5765
Atp6v1f	3.7965	2.318	1.7183	2.9814	1.9227	2.0635	2.0507	1.9189	1.8328	1.4027	1.4824	1.7757	1.8088	1.4705	2.4362	2.3427	1.6633	2.9349	2.5907	3.1472	4.0626	2.2625	2.5192	4.4633	3.8117	4.6293	1.4424
Atp6v1g1	7.1757	4.2584	3.1393	4.7978	3.7888	3.7139	3.8341	3.8815	3.4706	2.566	3.5398	3.7889	3.2395	3.1586	4.7275	4.486	3.3943	5.312	5.0508	6.8047	6.7054	3.8983	3.8722	6.2017	6.8921	7.657	3.254
Atp6v1g2	0.1814	0.1748	0.1262	0.2823	0.1796	0.1763	0.1877	0.1218	0.0949	0.1174	0.0778	0.2815	0.0901	0.1318	0.3688	0.2842	0.0994	0.3065	0.2805	0.3311	0.3558	0.4169	0.5921	1.1023	0.726	0.7223	0.1586
Atp6v1h	2.0753	1.2929	0.9307	1.3972	1.0889	1.1024	1.1002	1.0703	0.9944	0.9254	0.7934	1.0671	1.1775	1.3481	1.3329	1.8462	1.3482	2.5962	1.9136	2.4381	2.887	1.842	2.33	3.0624	2.5922	3.0435	1.1204
Atp7a	0.351	0.8828	2.3531	0.5437	0.2292	0.2317	0.341	0.289	0.3913	0.3614	0.2238	0.2287	0.3241	0.2257	0.5363	0.2644	0.2367	0.3292	0.2348	0.2989	0.6415	0.2423	0.2141	0.7975	0.3855	0.4755	0.2347
Atp7b	0.3163	0.4414	0.7712	0.6457	0.6787	0.6215	2.0144	2.1646	0.7821	0.4485	0.3582	2.0915	0.4184	0.4946	0.6131	1.1914	0.5068	0.6701	0.6446	0.7252	1.7503	0.4771	0.5378	0.5395	0.5921	1.401	0.4353
Atp8a1	0.9861	0.704	0.4706	1.5131	1.5384	1.2902	1.0922	0.9351	0.6415	0.5401	0.5176	1.4636	0.4135	0.757	1.0346	0.6854	1.0856	1.1489	1.844	1.5547	0.8223	0.9509	1.0669	2.4813	3.3457	1.621	0.5295
Atp8a2	0.0099	0.0487	0.0187	0.038	0.1387	0.0421	0.0401	0.079	0.0162	0.0171	0.0316	0.121	0.015	0.1108	0.1311	0.0773	0.0374	0.2118	0.1441	0.2349	0.21	0.0554	0.0805	0.172	0.2747	0.1278	0.1018
Atp8b1	0.3852	2.3556	0.9156	0.7572	0.7603	1.475	0.9175	0.5511	0.9929	0.5167	0.7386	0.5418	0.488	0.582	1.561	0.6306	0.5423	0.732	0.7544	0.7823	0.7635	0.5712	1.146	0.8001	1.1119	0.6662	0.9893
Atp8b2	0.461	0.6857	0.6799	0.3654	0.4179	0.4405	0.2912	0.2672	0.2688	0.2356	0.2542	0.5198	0.3026	0.3368	0.4243	0.3056	0.3378	0.4342	0.4911	0.6305	0.4146	0.3942	0.3682	0.8012	0.3749	0.8922	0.3233
Atp8b3	0.3346	0.3049	0.8278	0.7373	0.4992	0.4214	0.3159	0.5423	0.3806	0.3742	0.2851	0.5392	0.3923	0.3215	0.6187	0.6074	0.3263	0.8762	0.4606	0.9776	0.8126	0.5986	0.3442	0.5589	0.492	0.8747	0.3913
Atp8b4	0.4832	0.8096	0.7384	0.9781	0.9667	0.9153	0.8519	0.807	5.975	0.7445	0.6078	0.79	1.4764	0.7343	0.8764	0.8573	0.8002	0.9592	0.9286	1.0102	0.9791	0.7836	0.811	2.7221	0.9444	1.0107	0.7281
Atp8b5	0.4923	0.758	1.1544	0.9741	0.9959	4.5881	1.4267	0.7892	0.6422	0.6751	1.7566	0.7267	0.625	0.7189	0.9052	1.727	0.7323	0.9554	1.8847	1.0236	1.6325	0.7029	0.8128	0.8885	0.8965	0.8915	0.6557
Atp9a	1.7949	1.1018	0.8166	1.1714	1.4375	1.1632	1.6503	0.9692	0.8839	0.731	0.8281	2.0057	1.2055	1.7051	1.8999	2.7362	1.8228	2.0086	2.4442	3.4036	3.8738	2.3162	2.0007	5.4089	3.2564	3.0668	1.6401
Atp9b	0.2517	0.354	0.3468	0.4439	0.5117	0.2881	0.2791	0.2562	0.239	0.3234	0.1513	0.3308	0.1036	0.1367	0.2795	0.1618	0.195	0.3035	0.1932	0.3796	0.2806	0.2061	0.2097	0.3307	0.2915	0.3586	0.1217
Atpaf1	0.0156	0.0898	0.2028	0.1455	0.1622	0.0425	0.1291	0.0485	0.0552	0.049	0.0207	0.1713	0.0838	0.0996	0.0402	0.0386	0.0778	0.0636	0.094	0.1305	0.1626	0.1281	0.0475	0.1221	0.1386	0.0718	0.0346
Atpaf2	0.1403	0.2541	0.0851	0.2787	0.2993	0.4148	0.2109	0.2221	0.1372	0.14	0.0677	0.1472	0.1213	0.1993	0.1965	0.2789	0.1078	0.1877	0.2129	0.1771	0.2548	0.3261	0.2743	0.3399	0.1428	0.3215	0.154
Atpif1	15.2559	8.9638	7.3193	9.4571	8.4257	7.3818	7.9359	7.6315	7.2674	6.3489	7.8861	7.0359	7.7477	7.8603	12.976	10.9102	10.5142	15.8669	13.4947	20.5293	24.4876	13.3125	12.626	21.003	21.9881	22.7464	7.7465
Atr	0.0993	0.1423	0.2398	0.279	0.5427	0.2106	0.2023	0.1467	0.3199	0.0933	0.0979	0.1811	0.124	0.1742	0.107	0.1513	0.1164	0.1151	0.1023	0.1399	0.1081	0.1216	0.1509	0.2293	0.2072	0.2469	0.0756
Atraid	1.0214	0.8398	0.5788	0.8649	1.4184	1.5279	1.222	0.6294	0.5919	0.4143	0.5245	0.4988	0.3863	0.4233	0.8648	0.866	0.4586	1.0505	0.5891	0.8544	0.844	0.7766	0.7322	1.1677	1.3168	1.0931	0.4084
Atrip	0.0996	0.143	0.1883	0.1178	0.1711	0.2225	0.0826	0.0876	0.0963	0.0876	0.0831	0.2218	0.1231	0.0937	0.3144	0.1875	0.0687	0.277	0.167	0.1323	0.2862	0.0953	0.129	0.2088	0.3323	0.1197	0.0979
Atrn	0.3433	0.3887	0.2017	0.2878	0.3817	0.7597	0.5649	0.3956	0.1975	0.2431	0.1499	0.3036	0.174	0.1848	0.2419	0.2771	0.2537	0.4974	0.3027	0.3897	0.3768	0.4033	0.3711	0.9245	0.479	0.6242	0.2175
Atrnl1	0.1612	0.1617	0.1492	0.191	0.1856	0.1343	0.1194	0.1011	0.157	0.0997	0.1261	0.3948	0.1349	0.0982	0.1942	0.1089	0.4233	0.4485	0.1557	0.2022	0.2604	0.1563	0.1171	0.456	0.2122	0.2714	0.1463
Atrx	7.4402	4.5523	3.862	4.7207	3.7681	3.7954	3.9714	3.9894	3.8955	3.2648	3.2072	6.8327	3.151	3.093	4.6923	3.9413	3.7245	6.1571	4.1576	5.077	5.5919	4.1751	4.2464	7.7769	5.1875	5.6714	3.2941
Atxn1	0.2969	0.5961	0.2148	0.3837	2.2851	0.5255	0.4092	0.3572	0.1631	0.1667	0.169	0.3152	0.1502	0.1695	0.2124	0.2859	0.2252	0.242	0.4299	0.3016	0.3076	0.3817	0.244	0.6856	0.3078	0.4065	0.3002
Atxn10	3.8405	2.2616	1.6838	2.4937	2.1339	2.6463	2.3916	2.1135	1.9196	1.3773	1.3128	1.9364	1.4561	1.6007	2.1459	1.9254	2.2723	3.3538	3.2868	3.1378	3.0576	2.2771	1.9093	5.1573	3.7936	4.2194	1.5112
Atxn1l	0.0806	0.2609	0.182	0.128	0.1872	0.1128	0.0965	0.1618	0.138	0.0954	0.0643	0.1332	0.0597	0.1641	0.0952	0.1461	0.1143	0.1429	0.1943	0.2032	0.1248	0.1263	0.1067	0.1607	0.0955	0.1535	0.1088
Atxn2	0.7	0.4598	0.352	0.6163	1.5188	0.5462	0.4323	0.5367	0.4312	0.3661	0.5266	1.1564	0.425	0.3873	0.414	0.6097	0.5655	0.6351	0.5508	0.6112	0.5938	0.4415	0.4285	1.3091	0.9935	0.7679	0.4285
Atxn2l	1.0334	0.6809	0.6366	0.7239	0.6543	0.5849	0.7209	0.5986	0.6024	0.4413	0.6902	1.3866	0.5417	0.7606	0.61	0.6202	0.6251	1.0644	1.2422	0.7958	1.2575	0.7315	0.6502	1.171	0.7835	1.2576	0.5891
Atxn3	0.2371	0.3445	0.1775	0.4471	0.2377	0.233	0.1589	0.3848	0.1804	0.1945	0.1493	0.1707	0.2248	0.2391	0.2898	0.1502	0.1886	0.3796	0.2492	0.2761	0.2337	0.3589	0.2726	0.4475	0.25	0.3709	0.1779
Atxn7	0.1446	0.4607	0.1455	0.532	0.2323	0.4251	0.2045	0.172	0.1277	0.1941	0.0723	0.17	0.0923	0.0887	0.1089	0.2473	0.1512	0.1627	0.1482	0.1364	0.1792	0.1409	0.0943	0.2953	0.141	0.2508	0.1223
Atxn7l1_loc1	0.076	0.1692	0.051	0.0916	0.1451	0.0929	0.0603	0.0802	0.0509	0.0427	0.0453	0.1431	0.0519	0.0818	0.1164	0.1768	0.1578	0.1399	0.2367	0.3475	0.1071	0.1855	0.0752	0.1926	0.2067	0.1779	0.1549
Atxn7l1_loc2	0.3119	1.2398	0.4463	0.7005	1.5904	1.308	0.7659	0.4817	0.3874	0.4313	0.3686	2.8383	0.7378	1.7284	0.5945	0.6124	0.8516	0.6235	0.6765	1.3141	0.6628	1.4382	0.528	0.5324	0.5592	0.6069	0.4677
Atxn7l2	0.0644	0.0716	0.116	0.101	0.1821	0.095	0.105	0.1701	0.1467	0.1374	0.0809	0.3194	0.1648	0.0627	0.0846	0.0953	0.1472	0.4591	0.1152	0.1488	0.172	0.0915	0.0697	0.2403	0.1434	0.2191	0.0932
Atxn7l3	1.1061	0.6963	0.6529	0.7322	0.5999	0.5808	0.6223	0.6555	0.6667	0.825	0.8052	1.7408	0.6231	0.7769	0.8056	0.619	0.8847	1.466	0.9512	1.4794	1.2158	0.8011	0.8614	1.3713	0.8895	1.0689	0.6914
Atxn7l3b	12.0037	7.032	5.2885	7.338	6.2198	8.176	8.1389	6.8485	6.8632	8.1264	7.2655	7.383	6.1069	6.3061	6.7326	5.9295	7.8982	10.8744	10.8484	9.7847	12.1258	8.1341	6.3124	12.466	9.6467	11.1899	6.4024
Auh	0.1663	0.1575	0.1207	0.1973	0.5039	0.1678	0.1162	0.126	0.118	0.085	0.1228	0.4013	0.085	0.2362	0.2022	0.3351	0.3189	0.1895	0.1812	0.4225	0.292	0.2928	0.2021	0.5303	0.239	0.4859	0.0866
Aup1	0.281	0.2725	0.2842	0.2868	0.2455	0.2203	0.3245	0.1888	0.1739	0.1437	0.1633	0.2137	0.1368	0.1872	0.1704	0.1698	0.1597	0.2267	0.1955	0.4211	0.2929	0.2556	0.1899	0.2982	0.3342	0.2959	0.1234
Aurka	0.0153	0.4346	0.4903	0.6503	0.6069	0.1383	0.8329	1.563	1.9799	0.0303	0.0734	0.082	0.076	0.0424	0.0594	0.1282	0.032	0.051	0.0652	0.0672	0.0849	0.0338	0.0774	0.1028	0.0398	0.0794	0.0601
Aurkaip1	1.4925	0.9336	0.8139	1.4348	0.8922	0.8612	1.2115	0.8363	1.0649	0.6406	0.5224	0.7378	0.7421	0.5905	0.7976	1.0154	0.6846	1.6136	0.884	1.2918	1.9399	1.0298	1.1378	1.7305	1.3905	1.4761	0.5929
Aurkb	0.0042	0.2922	0.3592	0.3623	0.1762	0.0459	0.4058	0.6329	0.8333	0.0189	0.0227	0.019	0.0168	0.0268	0.0423	0.0412	0.0198	0.0395	0.0463	0.0398	0.0653	0.0199	0.0552	0.0232	0.0212	0.0401	0.0228
Aurkc	0.7118	1.0755	4.0465	1.1697	1.182	1.1596	1.0471	1.0727	2.5329	0.9504	0.8224	1.0725	0.8509	1.0013	1.0983	1.1441	1.0017	1.2329	1.2199	1.3872	2.6094	1.0592	1.0772	1.2717	1.2845	1.2956	0.905
Auts2	1.9532	1.3499	1.0771	1.4002	1.0995	1.2981	1.0765	1.7089	1.7737	1.8937	1.4574	4.6733	1.5042	1.3553	1.2082	1.2546	1.7698	2.3112	1.141	1.4466	2.2267	1.0323	1.0086	1.8371	1.6127	1.874	1.9256
Aven	0.0155	0.0678	0.0309	0.0405	0.0682	0.1357	0.0281	0.0869	0.0295	0.0344	0.0296	0.0653	0.0466	0.1685	0.1161	0.041	0.0569	0.0644	0.0453	0.1895	0.0845	0.1158	0.0764	0.1792	0.0586	0.0611	0.0371
Avil	0.8632	1.3923	1.1002	1.0849	1.0257	1.0121	1.2057	1.2171	0.8778	0.7298	0.6343	0.8133	0.6675	1.2409	0.9698	1.584	0.7986	1.1229	1.6973	1.2036	1.1213	0.8165	1.404	1.529	1.4242	1.9907	0.7205
Avl9	0.3512	0.2493	0.2236	0.2578	0.3781	0.4608	0.2264	0.2794	0.3	0.2999	0.2654	0.4925	0.3808	0.3926	0.224	0.2386	0.2103	0.3889	0.3099	0.3733	0.504	0.4744	0.2846	0.5017	0.336	0.5546	0.2348
Avp	0.4434	0.9187	0.9062	1.0635	0.9123	0.9843	0.8889	0.8815	0.7727	0.7993	0.7134	0.8598	0.7397	0.7638	0.9753	0.9007	0.8542	0.9997	1.0104	11.8902	1.1173	2.3596	0.8993	1.1168	1.0591	1.0687	0.8135
Avpi1	0.0065	0.2454	0.0531	0.0816	0.3958	0.0432	0.162	0.1103	0.0768	0.0193	0.0242	0.0367	0.0183	0.0255	0.0412	0.0377	0.0412	0.0377	0.0495	0.0436	0.0301	0.0657	0.0265	0.1214	0.0918	0.0788	0.0212
Avpr1a	0.0599	0.1484	0.2842	0.2132	0.2675	0.452	0.4906	0.1319	0.1162	0.2116	0.0853	0.2093	0.4166	0.4808	1.3663	0.3735	0.3833	0.187	0.2227	0.2293	0.1905	0.3516	0.2931	0.5938	0.3451	0.2395	0.1252
Axin1	0.234	0.1934	0.2346	0.2748	0.6386	0.3374	0.2277	0.2898	0.2161	0.1831	0.115	0.2791	0.1775	0.2281	0.2151	0.1428	0.162	0.3137	0.2221	0.2265	0.2468	0.1535	0.1493	0.3352	0.2529	0.2338	0.1476
